,R_squared,MAE,RMSE,model
4,0.2735711452086551,0.3738841473839362,0.47557065442559476,RF_optimized
0,0.27182578066623486,0.37463254576097477,0.47614162993882764,LinearRegression
3,0.2713333159668285,0.3746909954873651,0.47630261017308767,Lasso_optimized
1,0.2653627808734381,0.3755219891176905,0.47824998880659025,Lasso
2,0.13447626800653834,0.4092855047190461,0.5191083265457472,RF
