id,name,minplayers,maxplayers,minplaytime,maxplaytime,minage,bayesaverage,complexity,yearpublished
22457,Axis & Allies: Battle of the Bulge,2.0,2.0,180.0,180.0,12.0,5.79492,2.65,2006
154600,Desperados of Dice Town,2.0,4.0,25.0,25.0,8.0,5.66786,1.3778,2014
126239,Twin Tin Bots,2.0,6.0,50.0,50.0,10.0,5.69102,2.4048,2013
257305,SHASN,3.0,5.0,90.0,120.0,12.0,5.82875,2.9286,2021
359124,The Animals of Baker Street,1.0,4.0,45.0,45.0,10.0,6.01414,1.8148,2022
2060,Probe,2.0,4.0,60.0,60.0,8.0,5.56994,1.541,1964
130911,Batman: Gotham City Strategy Game,2.0,4.0,60.0,90.0,14.0,5.63813,2.3261,2013
166107,Matcha,2.0,2.0,20.0,20.0,10.0,5.70883,1.6667,2015
157723,We Didn't Playtest This at All with Chaos Pack Expansion,2.0,10.0,10.0,10.0,10.0,5.48936,1.0588,2012
360617,Findorff,1.0,5.0,75.0,75.0,14.0,5.90999,2.7297,2022
344254,Yummy Yummy Monster Tummy,2.0,4.0,15.0,30.0,6.0,5.89955,1.125,2021
43262,Neuroshima Hex! Duel,2.0,2.0,30.0,30.0,10.0,6.04109,2.625,2009
371,Mystery Rummy: Murders in the Rue Morgue,2.0,4.0,20.0,40.0,8.0,5.82599,1.7143,1999
66081,Pocket Battles: Elves vs. Orcs,2.0,2.0,20.0,20.0,8.0,5.75387,2.0694,2010
254088,Gravity Superstar,2.0,6.0,15.0,30.0,7.0,5.8061,1.4286,2018
231991,Firefly Adventures: Brigands and Browncoats,1.0,5.0,90.0,120.0,14.0,5.86276,2.6667,2018
184824,Gaslands: Post-Apocalyptic Vehicular Combat,2.0,8.0,45.0,90.0,11.0,6.1243,2.6364,2017
359406,Ecosystem: Coral Reef,1.0,6.0,15.0,20.0,10.0,5.93917,1.8571,2022
311031,Five Three Five,2.0,6.0,15.0,30.0,8.0,5.88723,1.5263,2020
396542,The Same Game,3.0,6.0,30.0,45.0,10.0,5.93716,1.5909,2023
182082,Carcassonne: Over Hill and Dale,2.0,5.0,35.0,35.0,7.0,5.96629,1.931,2015
2536,Vabanque,3.0,6.0,30.0,45.0,12.0,5.75535,1.6538,2001
273779,Under Falling Skies: A 9-Card Solo Game,1.0,1.0,20.0,40.0,8.0,5.96084,2.6222,2019
340541,Wizards of the Grimoire,2.0,2.0,20.0,40.0,10.0,5.94767,2.1071,2022
125675,Doctor Who: The Card Game,2.0,4.0,20.0,60.0,13.0,5.5409,1.9706,2012
205477,Vengeance,1.0,4.0,30.0,120.0,14.0,5.87192,2.8571,2018
56796,Let's Catch the Lion!,2.0,2.0,15.0,15.0,4.0,5.77412,1.7073,2008
